ID,Cycle
34,C0037778 -> C0025118 -> C0018722 -> C1456613 -> C0033213 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0203323 -> C0041618 -> C0079595 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0541456 -> C0338067 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0699733 -> C0024912 -> C0520510 -> C0005539 -> C0597556 -> C0597010 -> C5205744 -> C1257890 -> C0011298 -> C0014502 -> C0034019 -> C0681963
35,C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0203323 -> C0041618 -> C0079595 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0541456 -> C0338067 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0699733 -> C0024912 -> C0520510 -> C0005539 -> C0597556 -> C0597010 -> C5205744 -> C1257890 -> C0011298 -> C0014502 -> C0034019 -> C0018684 -> C0031845
36,C0025118 -> C0018722 -> C1456613 -> C0033213 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0203323 -> C0041618 -> C0079595 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0541456 -> C0338067 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0699733 -> C0024912 -> C0520510 -> C0005539 -> C0597556 -> C0597010 -> C5205744 -> C1257890 -> C0011298 -> C0014502 -> C0034019 -> C0018684
37,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C2987719 -> C0042926 -> C0681287 -> C0681285 -> C0009452 -> C0004083 -> C0039792 -> C0814268 -> C0683471 -> C0087111 -> C0418956 -> C0184661 -> C1655737 -> C0007189 -> C0037778 -> C0025118 -> C0018722 -> C1456613 -> C0033213 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0203323 -> C0041618 -> C0079595 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0541456 -> C0338067 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0699733 -> C0024912 -> C0520510 -> C0005539 -> C0597556 -> C0597010 -> C5205744 -> C1257890 -> C0027361 -> C0520507
38,C1257890 -> C0027361 -> C0009462
39,C0039421 -> C0039426 -> C1256750 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C2987719 -> C0042926 -> C0681287 -> C0681285 -> C0009452 -> C0004083 -> C0039792 -> C0814268 -> C0683471 -> C0087111 -> C0418956 -> C0184661 -> C1655737 -> C0007189 -> C0037778 -> C0025118 -> C0018722 -> C1456613 -> C0033213 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0203323 -> C0041618 -> C0079595 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0541456 -> C0338067 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0699733 -> C0024912 -> C0520510 -> C0005539 -> C0014279
40,C0039426 -> C1256750 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C2987719 -> C0042926 -> C0681287 -> C0681285 -> C0009452 -> C0004083 -> C0039792 -> C0814268 -> C0683471 -> C0087111 -> C0418956 -> C0184661 -> C1655737 -> C0007189 -> C0037778 -> C0025118 -> C0018722 -> C1456613 -> C0033213 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C1518680 -> C0242481 -> C1516654 -> C0441655 -> C0412555 -> C0203323 -> C0041618 -> C0079595 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0541456 -> C0338067 -> C0220965 -> C0242356 -> C0021428 -> C3888058 -> C0699733 -> C0024912 -> C0520510 -> C0005539 -> C0014279
41,C0700276 -> C0012240
42,C0700276 -> C0012240 -> C1182856 -> C1744602
43,C0700276 -> C0012240 -> C1182856 -> C1744602 -> C0005898
